sample_id,text_type,label,attack_percentage,snr
425,mixed_text,1,0.1,1.581505282819198
426,human_baseline,0,0.1,0.9230544106823064
427,original_ai,1,0.1,2.140136411341401
428,translated,1,0.1,1.8587056624529887
429,substituted,1,0.1,1.5407623355973876
430,paraphrased,1,0.1,1.5167686163712364
431,mixed_text,1,0.1,1.1493112496430014
432,human_baseline,0,0.1,0.8052388133176042
433,original_ai,1,0.1,1.2736885310200037
434,translated,1,0.1,1.326743759841218
435,substituted,1,0.1,1.0128651182242638
436,paraphrased,1,0.1,0.6913196758933063
437,mixed_text,1,0.1,1.8882546229564572
438,human_baseline,0,0.1,0.924927350794612
439,original_ai,1,0.1,1.9436671367907083
440,translated,1,0.1,1.9296193223433185
441,substituted,1,0.1,1.0081196758571886
442,paraphrased,1,0.1,1.5362355797016698
443,mixed_text,1,0.1,1.951443681353484
444,human_baseline,0,0.1,0.7856990369994699
445,original_ai,1,0.1,1.4627014813925827
446,translated,1,0.1,1.1893983123735423
447,substituted,1,0.1,1.8439047225924892
448,paraphrased,1,0.1,2.5488433391823517
449,mixed_text,1,0.1,1.5111583532940165
450,human_baseline,0,0.1,1.6504449059234287
451,original_ai,1,0.1,2.4180646576613105
452,translated,1,0.1,1.839116861743555
453,substituted,1,0.1,2.2409515113807577
454,paraphrased,1,0.1,1.5265361554058692
455,mixed_text,1,0.1,1.687153997445715
456,human_baseline,0,0.1,0.8299491718648182
457,original_ai,1,0.1,1.593468292935606
458,translated,1,0.1,1.3649504516320146
459,substituted,1,0.1,1.538937022659562
460,paraphrased,1,0.1,1.1603458791526793
461,mixed_text,1,0.1,1.5605360191359756
462,human_baseline,0,0.1,1.1820885969019304
463,original_ai,1,0.1,1.809937576994657
464,translated,1,0.1,1.814532062849191
465,substituted,1,0.1,1.6924594897045953
466,paraphrased,1,0.1,1.316950543997837
467,mixed_text,1,0.1,1.682581474470618
468,human_baseline,0,0.1,1.4088755041651173
469,original_ai,1,0.1,1.562379507090799
470,translated,1,0.1,1.5103301851027402
471,substituted,1,0.1,1.1755718123241177
472,paraphrased,1,0.1,1.309716457602934
473,mixed_text,1,0.1,1.4881360614572423
474,human_baseline,0,0.1,1.3022496608487255
475,original_ai,1,0.1,1.7229762072503374
476,translated,1,0.1,1.6567403351809282
477,substituted,1,0.1,1.4764696615784585
478,paraphrased,1,0.1,1.7338692155308295
479,mixed_text,1,0.1,2.0452103659395533
480,human_baseline,0,0.1,0.989133851301246
481,original_ai,1,0.1,2.317393268236934
482,translated,1,0.1,1.9402268264845453
483,substituted,1,0.1,1.1940483841883196
484,paraphrased,1,0.1,1.3361345571066707
485,mixed_text,1,0.1,1.4050604936996594
486,human_baseline,0,0.1,0.959843805866943
487,original_ai,1,0.1,2.3224255548082144
488,translated,1,0.1,1.6873614273315296
489,substituted,1,0.1,1.658498135727711
490,paraphrased,1,0.1,1.8056791053315904
491,mixed_text,1,0.1,1.2506160556100543
492,human_baseline,0,0.1,1.5084267937680162
493,original_ai,1,0.1,1.0871479864240503
494,translated,1,0.1,1.1814754733838106
495,substituted,1,0.1,0.950503984873264
496,paraphrased,1,0.1,0.6051928889667237
497,mixed_text,1,0.1,1.5666664111988418
498,human_baseline,0,0.1,1.0099764612836484
499,original_ai,1,0.1,1.7192802886965703
500,translated,1,0.1,1.2837796167277644
501,substituted,1,0.1,1.5198487414457569
502,paraphrased,1,0.1,1.201869606328577
503,mixed_text,1,0.1,1.3266523956802196
504,human_baseline,0,0.1,0.7397859887800844
505,original_ai,1,0.1,3.053602844045481
506,translated,1,0.1,2.9654834002301795
507,substituted,1,0.1,1.6315683277344788
508,paraphrased,1,0.1,2.50007932502737
509,mixed_text,1,0.1,1.5542737355882328
510,human_baseline,0,0.1,1.2511738455175554
511,original_ai,1,0.1,1.8997776014619336
512,translated,1,0.1,1.797557551788016
513,substituted,1,0.1,1.478850532547903
514,paraphrased,1,0.1,1.36018207142185
515,mixed_text,1,0.1,1.1790389953054432
516,human_baseline,0,0.1,0.8476299302964118
517,original_ai,1,0.1,1.0941228617511902
518,translated,1,0.1,1.1066561572756273
519,substituted,1,0.1,1.1843418869198028
520,paraphrased,1,0.1,0.9511683921911251
521,mixed_text,1,0.1,1.4636451087205236
522,human_baseline,0,0.1,0.6977865800120584
523,original_ai,1,0.1,1.283140449040279
524,translated,1,0.1,1.151006981733443
525,substituted,1,0.1,1.1922922914811145
526,paraphrased,1,0.1,1.2267263812083506
527,mixed_text,1,0.1,1.1783570952925968
528,human_baseline,0,0.1,1.199388105958433
529,original_ai,1,0.1,2.0231243807664776
530,translated,1,0.1,2.108320664864578
531,substituted,1,0.1,2.047493895183091
532,paraphrased,1,0.1,1.811945777148216
533,mixed_text,1,0.1,1.4477771134990187
534,human_baseline,0,0.1,1.1418750447692694
535,original_ai,1,0.1,1.6652904622572922
536,translated,1,0.1,2.466223376808311
537,substituted,1,0.1,1.236982934203207
538,paraphrased,1,0.1,1.0866159507128597
539,mixed_text,1,0.1,0.9791517808744746
540,human_baseline,0,0.1,1.4848355950414531
541,original_ai,1,0.1,2.4583210097486305
542,translated,1,0.1,1.8544646289543376
543,substituted,1,0.1,1.8711123241124488
544,paraphrased,1,0.1,1.4238044460113208
545,mixed_text,1,0.1,1.4842890191570968
